link,recordID,timestamp,pwa,cer,fulltext_org,pageUUID,editionUUID,titleUUID,editionId,familyId,newspaper_page,newspaper_edition,lplace,location_name,location_coordinates
http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_newspaperCollection:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43-_nogroup_,1819-09-03T01:00:00,43.2,09.28,"FrenitySning.\nkovstrcrdeN'. 128.\nHos Undertegnede faacs i Comme sion :\nSkipper P. ?. PotUscn asqaacr cm n.'tilc Doae til Rander., 0., znedtagerFraKtsods. Stibet or beliggende ved Acciseboden under Prisen.",doms_aviser_page:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_aviser_edition:uuid:5b690276-ed9c-418e-ac8d-e76400ab9eea,doms_aviser_title:uuid:39fa5737-c2a9-4d5a-988e-c260f24cd76b,adresseavisen1759 1819-09-03 001,adresseavisen1759,2,1,København,Ho,"8.2229602027,55.5526707867"
http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_newspaperCollection:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43-segment_1,1819-09-03T01:00:00,43.2,09.28,"Gen at blive bersvet min trofaste og uforglemmelige Hustru« og deres hulde Moder, Dirre Mortensen, fed Hermansen, 26 ?tar gammel, efter 7 Aars kjerlige ZLgre- fiab. I næsten 1 Aar bar hun mrd fjelden Taalmod Sygdoms Smerter, t!l Gud kaldre hendes «dle-Sjel til ihoighedens Doiiczer, hvor Tanken oin Gzenforening xyder Trsst i mit og mene Smaae« bedcsvedc fjerter. Med Gud Kengiven Sjel Du lcved', leed og dos: ! Derfor jeg klager her med dem, som Du mig fodre! Forklarcd' Dirre! fkuc fra Bvighedens Land ! T:l mig og Dine Smaae paa Livets brede Strand! Vi klage for Dit Savn For hnlde Moders Favn ! Zxun Almagts Raab om Gjenforenings Haab ! Her stands« kan vor bmr« GraadU Hans Mortensen, vognmand. Ar det har behager Forsver den 27 A-tgustar bort, kalde min tndcrltgen elfkede Mand, Peter H.Dorck, ved en hastig Dod, i hans Alders 44 Aar, fra nng og zde Dsrn, maae ?eg forgeltgst rilkjendegive for deeltagendr Sleegr og Venner. R. M. Dorch, fod Eliershsi. I 2ln!«dnjng af Skomagermester Hans Henris Blochs Dod den 24de August 1819. Som Dorger tro og rro som stkttemage Har. air for tidligt endte Livers Dage, Destaiidtg saaes han i huuslig Rreds ivm, kjerlig, altid veltilfreds. Hans Iordilke nu Graven har i Gjemme, Men hans stlrindring uddocr ,tke Ki-mm«. Sxi x xx xx. EfterlvSnino. »Fn bortflsiet Stser ontkes tilbageleverer ak den ret- stadige Finder imod en Douceur tllJsenkrcemmcren paa Alle Sjobmagergade Vtr.77.",doms_aviser_page:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_aviser_edition:uuid:5b690276-ed9c-418e-ac8d-e76400ab9eea,doms_aviser_title:uuid:39fa5737-c2a9-4d5a-988e-c260f24cd76b,adresseavisen1759 1819-09-03 001,adresseavisen1759,2,1,København,Strand\nGraven\nAars,"8.51690405265,55.1622304047\n10.5043265426,56.1334266969\n9.51368182691,56.8025344518"
http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_newspaperCollection:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43-segment_11,1819-09-03T01:00:00,43.2,09.28,"Capt. Hans M. Dahl, forende Galeafen Iielena, af- feiler paa Mandag t«l Ri-a, og medtager Pragtgods og Past.tgerer, hvorom Vedkommen di- behage at heaveu.- de dent til Mægierne Mauer Cotitnp.",doms_aviser_page:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_aviser_edition:uuid:5b690276-ed9c-418e-ac8d-e76400ab9eea,doms_aviser_title:uuid:39fa5737-c2a9-4d5a-988e-c260f24cd76b,adresseavisen1759 1819-09-03 001,adresseavisen1759,2,1,København,,
http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_newspaperCollection:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43-segment_3,1819-09-03T01:00:00,43.2,09.28,"Eu Enldbrvsinaal er funden paa Gaden, et redt Bomulds Tortlocde, hvori er neger Snnoiobak m. ni., er ftiutea I Kongens JCftnge, enSolrfxiseskeeer af en Pige panksar dos en Mand, imedens hint fik nog.r Porcellatn tjem fon« Pre-e. Eieme til disse ?i«a lni r.e m«lde dem paa Kj/rentzavnS Pe- Krikammkr fra Kl. 12 til 2 Middag. KuilojiULSvsen.",doms_aviser_page:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_aviser_edition:uuid:5b690276-ed9c-418e-ac8d-e76400ab9eea,doms_aviser_title:uuid:39fa5737-c2a9-4d5a-988e-c260f24cd76b,adresseavisen1759 1819-09-03 001,adresseavisen1759,2,1,København,Middag,"10.4580351353,57.4151316479"
http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_newspaperCollection:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43-segment_4,1819-09-03T01:00:00,43.2,09.28,"Efter Forening med H. H. Hr. Provst Gulftld scelges de af ham udgivne: Prcodikener, hol di tie i holmens Kirke fra ist? August kil Ser.' t'mbev Naanods Udgang for halv Bogladepriis ; Eremplaret koster alksaa Netto 2 Nbd. rede Eklv, men fra Octvbec Maaneds Begyndelse koste de igjcn z Rbd. rede Soiv. Kjsbenhavn, den zite Juli 1819. B. Brunnich,",doms_aviser_page:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_aviser_edition:uuid:5b690276-ed9c-418e-ac8d-e76400ab9eea,doms_aviser_title:uuid:39fa5737-c2a9-4d5a-988e-c260f24cd76b,adresseavisen1759 1819-09-03 001,adresseavisen1759,2,1,København,,
http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_newspaperCollection:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43-segment_7,1819-09-03T01:00:00,43.2,09.28,"Dlandinger, ell r Lccsnirigfor begge Kjen. rsteHcf'e. 60 st. G.R. Molfted Xtimodiqe Vttringer over Billigheden afviar- nercerdiesOmffiivning med Gjendrivelte efde Intven- diugerdcr jremforee herimod, 20 st. heftet. GyldivdaljkeB'gkardling. Modens Gang, en m«rcv«rdig Sang, for Kiodenhavns kdvaar.er« f Ssrdeieebed, og for Atle i Almineeliohid, og en tvang om en llrgkarl, som tog en gammel Jemftue for Penge Ltyid, MMtzgu sfdcn fortryder, fages tiisfyds f»r 4 st. Styk-",doms_aviser_page:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_aviser_edition:uuid:5b690276-ed9c-418e-ac8d-e76400ab9eea,doms_aviser_title:uuid:39fa5737-c2a9-4d5a-988e-c260f24cd76b,adresseavisen1759 1819-09-03 001,adresseavisen1759,2,1,København,,
http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_newspaperCollection:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43-segment_8,1819-09-03T01:00:00,43.2,09.28,"ket hos Forfatteren Z.E.Udtberg, j Pilestr«det Nr. los, forste SaivoerGaaiden. . i.,,. . De, som fra iste September onflc ar holoe DIadet Dagen, ombedes at miilde dem iStoringaden 204 an> Prof. Rasmussens <1 et danfke afrieanfke Ootnpagniei Historie, med Fortale af Etatsraad Eugelstoft, faaes for 7 Rbmk. hos Brummer. Cr.; det kjobcnbavnste Fatiigvglfen , af Forvalter Moller , er udtommen, dg laaes for 1 nr. i Boaladen dd4 > Gothers« gaden. For ''arteren anbefaler ccrre Sk>ft til enhver uparlilr t«nkcnde Mands Cmdomme.",doms_aviser_page:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_aviser_edition:uuid:5b690276-ed9c-418e-ac8d-e76400ab9eea,doms_aviser_title:uuid:39fa5737-c2a9-4d5a-988e-c260f24cd76b,adresseavisen1759 1819-09-03 001,adresseavisen1759,2,1,København,,
http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_newspaperCollection:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43-segment_9,1819-09-03T01:00:00,43.2,09.28,"forb fiild. i den bcekn.ste Boglade 1 Gorho, »gaden 3 4 Hos Bi'gt:»kker Ran el Hsicrgai.'e ?:r. 6(>, ere svigende B», ger tilljobs : R» Toltchsg. ir.d. holtcr.be 'g Anviitr.ingcr ar til- lave almindelige og l'.tstc Z. iictsi :r 2 4 st. Vedetread for Skue, fri v»dcre , olier Grundrids ar der. droniariUeDigtelnnk 4 n 1. C ni den teraerli e Bv niae -nrfi , for Brgjoelstere eg Arel>: r e- ter 2 mk. Skolet« deller, indheftede 4 st. Ravvorter tllborgerli r Artilleri og Infanteri (> st. fi r. 3'sa. Ucttct fov Gjvrdemrdre - |f. Befragtnings - Contra«,: er. Ccrre sementer. P.rlcr >n. m. Fra Pres,«,, cr ndlouimer. : Een eneste Skolemester blandt tusinde Bern i een Skal«. Er Bidrag tilUnderviisuingsinelkv- hers 04 s?lolediscir!ine»s Forbedring i de lavere Alinurlkoler af Ipsevd Lancaster, Eks!c«o«stcr i vvndoti. pe> rsakafE F. Kvorer, Capellan for Holle ted, Bkrslob og Ho steindvrg M>vigdcder. Derre Kkrist, hvori giv s suldsttriidir Uote. retning vm Larea- steisMerlivde, f-vesh«f:er firymk. hvo K. Kristensen iK oster- Itr«det?l og 72. Skib!eilighed. Eapt. st. kil. >'r>rt aif<n, forende Fregallkiber 5t. Croix , affeilt r medio September iiide værende Aar til St. Croix, og med'ager fragtgods og Pasfagerer. Vedkommende ville beliage desanga.aeride at henvende dem enten ved Skibet, beliggende ved Fabritius'« Plads, t eller til Mægler "" Cbr. A. Jacoblen, 71ronninge>i8 Tvtrgade 2??. Capt. J. J. Trane, forende Skibet Emilie kaldet, agter medio September t aifeile herfra til JVIadera og St. Croix, til hvilke Steder medtages Fragtgods eg Pasfagerer, naar Vedkommende deiom b« bage at henvende dem enten til rkibet, beliggende ved lir. Capt. Kioyers Plads , eller til Mægler S. Hecksber. Capt I,. I.orck, forende Skibet Danmark, agter I Begynd el fm af October Maaned at af.eile herfra tii St. Croix, hvortil »vedtages I ragttods og Passagerer, for hvilke iidft beqven in»' Indretninger haves. Vedkommende ville behage- at henvende dem , »ten vil lir. Capt. Lorck, boende i Krenpi indfe»!egaden 395, eller til M-?gler S. Hfckslier. Capt. Christopher J icobfen, fSretide Chaluppen den lille Carobne, agter med alicr.'difie at aifeile' til I,«- beck, hvortil ban medr ,ger Ira ig< <Is og Pasfagerer.. Vedkommende vide behage at henvende dem enten til Skibet, beliggende ved Toldboden, eller til Mægler S. Hecksher.",doms_aviser_page:uuid:0aac5b73-0ae0-47fe-8d13-55efc6e4ac43,doms_aviser_edition:uuid:5b690276-ed9c-418e-ac8d-e76400ab9eea,doms_aviser_title:uuid:39fa5737-c2a9-4d5a-988e-c260f24cd76b,adresseavisen1759 1819-09-03 001,adresseavisen1759,2,1,København,Ho\nSkibet,"8.2229602027,55.5526707867\n9.45282702499,55.7111498478"
http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A0f536112-cc20-47c4-a6f6-c7f44dd8990c,doms_newspaperCollection:uuid:0f536112-cc20-47c4-a6f6-c7f44dd8990c-segment_1,1819-09-03T01:00:00,44.4,09.16,"— 47 tcr Man, at bc ved deres Opførsel ikke give nsgcn Anledning ril nye Tvistigheder; „men dttimod afholde sig. fra alle Anmasselser, som cre ufordragelige med det Forhold te staae i til Staten, og .beflitte stg paa Beskedenhed og Sædelighed, da de i modsat Tilfælde ville blive behandlede som RolighcdS-Forstprrere, stjøndt Man iøvrigt ikke kan nægte kcn bedre Deel af dem det Vidnesbyrd, at de under disse Omstændigheder have bidraget til Ordens Vedligeholdelse i deres Menighed. Imidlertid have flere velhavende Jødefamilier ester denne Tumult forladt Hamborg og bc- givt t (Tg ril Altona, hvor forhen saa mange fortrcrngte Ham- borgere have fundet Sikkerhed og Hjelp. For tidlig synes Universitetet iHeidclbcrg at have rost sig af sine Fortrin frem for de andre tydfle Højskoler, da Un- dcrfogclserne og Arresteringerne ogsaa ere naaede dertil. Den -6 Juli blev en Doktor Zollemue fort fra Elbcrfeld til Berlin og efterlod et Brev til Boghandler Buschler. Lige- kedes ere Kandidaterne Ricmann i Boitzcnburg og Franckc i Parchim arresterede og begge bragte til Schwerin. I Anledling af Tvisten mellem Studenterne og Mili, taircl i Gies sen, er ved et Ministerial- Reskript befalet, atMilitair- Assistance mod Studenterne kun skal gives paa SenaletsForiangendc, samt at Studenterne gives vedbørig Satisfaktion. Den Offieecr, som fornærmede Studenten, er og doml kil 14 Dages stræng Arrest. I Srvrhertugdommene Weimar og Hesscn cr Turn- vasen et forbudt. Den 26 August blev Hesten Blsichers Statue hoitidclig afdakkel paa den efter ham opnævntePlads i Rostock, i flere hoie Embedsmands og utallige Tilskueres Ovcrvarelfe. For Hsilideligheden blev afsjungctPfalnien: „Nim danket alle Go«"" og den sluttedes om Aftenen med en af Magistraten foranstaltet Illumination. Blandinger. ?s m e r i ka. Lord C o c h r a » c har atter gjort et forgja, ves Forsøg paa at ødelægge de spanske Skibe i Havnen ved Callao, da den Brander, han sendte ind, blev skudt i ©ank fra Batterierne. Slvrbrittannren. Miiiisterlalbkadcne drage det i Tvivl, at Prindscssen af Wall i s skulde komme til En- grlland. Heller ikke har Man nogcu Efterretning om hen- des Afrcisc fra Italien. Da Dommeren i det første Forhor over Hun t spurgte ham: hvorfor han var kommet til Manchester ? svarede ' Hiilit : hvorfor er jeg bragt herhid ? Huitts første borgerlige Haandtering stal have været Øh -bryggerne, som han anlagde iClifton r««/ og bekendtgjorte «t Man hos ham kunde faae godt Øl, tilberedt af Malt og Humle »den fremmede Tilsætninger ; men ikke et Aar der- ester blev dog hans 01 konfiskeret som forfalsket, AfHarme herover blev han Patriot, og har sideli, stedse brygger paa Statens Anliggender. s ' ' Tyrkiet. Et Skib under russis? Flag, bestemt fra Genua til Odessa, er i Juni taget af en Søerøvcr i Archt- »elagus, sanket og Mandskabet m »Mk,",doms_aviser_page:uuid:0f536112-cc20-47c4-a6f6-c7f44dd8990c,doms_aviser_edition:uuid:9490b2b0-4894-4034-8bae-9a956346fc28,doms_aviser_title:uuid:08a0c32b-c127-4ddc-b8c7-385ced6ac020,fyensstiftstidende 1819-09-03 001,fyensstiftstidende,2,1,Odense,Hamborg\nNim\nTyrkiet\nHesten\nBerlin\nMalt\nAltona,"9.15169549892,55.5933995115\n8.8549186596,56.9338965496\n8.65064095876,57.1137021755\n9.68885257089,55.9286149865\n9.03882933036,55.0623824295\n12.0489689901,55.8261548259\n10.0519110667,55.46645491\n9.06800376783,55.4709553414\n10.2613101156,57.5825993621"
http://www2.statsbiblioteket.dk/mediestream/avis/record/doms_aviser_page%3Auuid%3A0f536112-cc20-47c4-a6f6-c7f44dd8990c,doms_newspaperCollection:uuid:0f536112-cc20-47c4-a6f6-c7f44dd8990c-segment_2,1819-09-03T01:00:00,44.4,09.16,"Endelig ere Janitscharernes Uroligheder for denne Gang standsede. Stora du.iraken, som ikke viiste Kraft nok ved j at dormpc Oplobet, blev afsat, og haus Eftermand lod strap 22 af Hovedmændene hcrnge. T y d s k l a n d. Ved Opstillingen afD l u e h e r s Statue i Rostock blev og uddeelt en afKunstnercnSchadow forfar- tet Beskrivelse derover. Statuens Bøjning forover og deir s frcmstaaende venstre Fod har Hentydning paa: „Marstal j Frcmad„ hvilket Tilnavn Russerne figes at have givet Helten. Ester Goethes Mening maalte han forestilles i den storste Fare og største Kriger-Hader, derfor sees han paa den ene Side af Piedestalen liggende under den skudte Hest, beskyttet af Germauieus Skytsaand. Paa den anden Side holder han tilhest paa Randen af en Afgrund, hvori Uhyrer nedstyrte. Statuen vender, ligeledes efter Goethes Idee, r Ryggen mod Norden, hvorved deus enkelteDele blive mere oplyste. Ogsaa en Skuemynt hlev ved denne Hømdelig- > hed uddeelt til Subskribenterne. Nederlandene. Den ry August vendte Hertugen af Wcllingto n tilbage til Engelland, efter al have inspiceret de nederlandske Fæstninger. Hans Reisc til Carlsbad var altsaa kun et Rygte Ved M« stricht sammentrcrkkes en Kvelses-Leir. Preussen. Underføgciseskommissionen , ana anende > de dæmagogiste Forbindelser, er endnu i fuld Virksomhed. Nylig blev inqvireret efter Dolke hos Smedene og Svcrrd- ! stierne i Marburg. Efterretningen om den russiste Storfyrstinde Alerandras Nedkomst den izdc, ikke den 4 August, er af en ruestsk Oberst overbragt til Berlin. Doktor Jahn har fra Arresten tilskrevet sin Kone to rørende Breve. Flere Officerer, som havde underskrevet den ham givne Erklcrring, cre derfot bleven irettesatte, ja en Chirurg endog arresteret. 1 Rusland. Det russiste Gesandtskab, som for beflan- ! dig stal opholde sig i Persien, har naaet sin Bestemmelse, og cr bleven modtaget paa det Bedste.",doms_aviser_page:uuid:0f536112-cc20-47c4-a6f6-c7f44dd8990c,doms_aviser_edition:uuid:9490b2b0-4894-4034-8bae-9a956346fc28,doms_aviser_title:uuid:08a0c32b-c127-4ddc-b8c7-385ced6ac020,fyensstiftstidende 1819-09-03 001,fyensstiftstidende,2,1,Odense,Marstal\nBerlin\nRyggen\nRusland\nNorden,"10.508000278,54.854317042\n10.0519110667,55.46645491\n11.5353571785,54.8687866523\n10.7295647096,57.2324062216\n12.6947098213,55.6936042575\n10.9814092808,54.841329774\n10.7410631646,55.6229479824\n10.8053414198,55.2986544978\n12.3998072913,56.0853826198\n10.2779102718,55.1178190331"
