King/Queen;Reign_start;Reign_End;Birth_Date;Death_Date;Gender;Dynasty;Years_rulled;Source
Gorm_den_Gamle;936;958;908;958;M;Jellingdynastiet;22;https://da.wikipedia.org/wiki/Gorm_den_Gamle
Harald_Blåtand;958;985;936;985;M;Jellingdynastiet;27;https://da.wikipedia.org/wiki/Harald_Bl%C3%A5tand
Toke_Gormsen;985;986;NULL;986;M;Jellingdynastiet;1;https://da.wikipedia.org/wiki/Toke_Gormsen
Svend_Tveskæg;986;1014;963;1014;M;Jellingdynastiet;28;https://da.wikipedia.org/wiki/Svend_Tvesk%C3%A6g
Harald_2;1014;1018;NA;NA;M;Jellingdynastiet;4;https://da.wikipedia.org/wiki/Harald_2.
Knud_den_store;1018;1035;995;1035;M;Jellingdynastiet;17;https://da.wikipedia.org/wiki/Knud_den_Store
Hardeknud;1035;1042;1018;1042;M;Jellingdynastiet;7;https://da.wikipedia.org/wiki/Hardeknud
Magnus_den_Gode;1042;1047;1024;1047;M;Hårfangerslægten;5;https://da.wikipedia.org/wiki/Magnus_den_Gode
Svend_Estridsen;1047;1076;1019;1076;M;Jellingdynastiet;29;https://da.wikipedia.org/wiki/Svend_Estridsen
Harald_Hen;1076;1080;1041;1080;M;Jellingdynastiet;4;https://da.wikipedia.org/wiki/Harald_Hen
Knud_den_Hellige;1080;1086;1043;1086;M;Jellingdynastiet;6;https://da.wikipedia.org/wiki/Knud_den_Hellige
Oluf_Hunger;1086;1095;1050;1095;M;Jellingdynastiet;9;https://da.wikipedia.org/wiki/Oluf_Hunger
Erik_Ejegod;1095;1103;1055;1103;M;Jellingdynastiet;8;https://da.wikipedia.org/wiki/Erik_Ejegod
Niels;1104;1134;1065;1134;M;Jellingdynastiet;30;https://da.wikipedia.org/wiki/Niels_af_Danmark
Erik_Emune;1134;1137;1100;1137;M;Jellingdynastiet;3;https://da.wikipedia.org/wiki/Erik_Emune
Erik_Lam;1137;1146;1120;1146;M;Jellingdynastiet;9;https://da.wikipedia.org/wiki/Erik_Lam
3_konger;1146;1157;NA;NA;NA;NA;11;https://da.wikipedia.org/wiki/Valdemar_den_Store
Valdemar_den_Store;1157;1182;1131;1182;M;Jellingdynastiet;25;https://da.wikipedia.org/wiki/Valdemar_den_Store
Knud_6;1182;1202;1163;1202;M;Jellingdynastiet;20;https://da.wikipedia.org/wiki/Knud_6.
Valdemar_Sejr;1202;1241;1170;1241;M;Jellingdynastiet;39;https://da.wikipedia.org/wiki/Valdemar_Sejr
Erik_Plovpenning;1241;1250;1216;1250;M;Jellingdynastiet;9;https://da.wikipedia.org/wiki/Erik_Plovpenning
Abel_af_Danmark;1250;1252;1218;1252;M;Jellingdynastiet;2;https://da.wikipedia.org/wiki/Abel_af_Danmark
Christoffer_1;1252;1259;1219;1259;M;Jellingdynastiet;7;https://da.wikipedia.org/wiki/Christoffer_1.
Erik_Klipping;1259;1286;1249;1286;M;Jellingdynastiet;27;https://da.wikipedia.org/wiki/Erik_Klipping
Erik_Menved;1286;1319;1274;1319;M;Jellingdynastiet;33;https://da.wikipedia.org/wiki/Erik_Menved
Christoffer_2;1320;1326;1276;1332;M;Jellingdynastiet;6;https://da.wikipedia.org/wiki/Christoffer_2.
Valdemar_3;1326;1329;1314;1364;M;Jellingdynastiet;3;https://da.wikipedia.org/wiki/Valdemar_3.
Christoffer_2;1329;1332;1276;1332;M;Jellingdynastiet;3;https://da.wikipedia.org/wiki/Christoffer_2.
Kongeløse_tid;1332;1340;NA;NA;NA;NA;8;https://da.wikipedia.org/wiki/Den_kongel%C3%B8se_tid
Valdemar_Atterdag;1340;1375;1320;1375;M;Jellingdynastiet;35;https://da.wikipedia.org/wiki/Valdemar_Atterdag
Oluf_2;1376;1387;1370;1387;M;Jellingdynastiet;11;https://da.wikipedia.org/wiki/Oluf_2.
Margrethe_1;1387;1412;1353;1412;F;Jellingdynastiet;25;https://da.wikipedia.org/wiki/Margrete_1.
Erik_af_Pommern;1396;1439;1382;1459;M;Jellingdynastiet;43;https://da.wikipedia.org/wiki/Erik_af_Pommern
Christoffer_af_Bayern;1440;1448;1416;1448;M;Jellingdynastiet;8;https://da.wikipedia.org/wiki/Christoffer_af_Bayern
Christian_1;1448;1481;1426;1481;M;Oldenborg;33;https://da.wikipedia.org/wiki/Christian_1.
Hans_af_Danmark;1481;1513;1455;1513;M;Oldenborg;32;https://da.wikipedia.org/wiki/Hans_af_Danmark
Christian_2;1513;1523;1481;1559;M;Oldenborg;10;https://da.wikipedia.org/wiki/Christian_2.
Frederik_1;1523;1533;1471;1533;M;Oldenborg;10;https://da.wikipedia.org/wiki/Frederik_1.
Christian_3;1534;1559;1503;1559;M;Oldenborg;25;https://da.wikipedia.org/wiki/Christian_3.
Frederik_2;1559;1588;1534;1588;M;Oldenborg;29;https://da.wikipedia.org/wiki/Frederik_2.
Christian_4;1588;1648;1577;1648;M;Oldenborg;60;https://da.wikipedia.org/wiki/Christian_4.
Frederik_3;1648;1670;1609;1670;M;Oldenborg;22;https://da.wikipedia.org/wiki/Frederik_3.
Christian_5;1670;1699;1646;1699;M;Oldenborg;29;https://da.wikipedia.org/wiki/Christian_5.
Frederik_4;1699;1730;1671;1733;M;Oldenborg;31;https://da.wikipedia.org/wiki/Frederik_4.
Christian_6;1730;1746;1699;1746;M;Oldenborg;16;https://da.wikipedia.org/wiki/Christian_6.
Frederik_5;1746;1766;1723;1766;M;Oldenborg;20;https://da.wikipedia.org/wiki/Frederik_5.
Christian_7;1766;1808;1749;1808;M;Oldenborg;42;https://da.wikipedia.org/wiki/Christian_7.
Frederik_6;1808;1839;1768;1839;M;Oldenborg;31;https://da.wikipedia.org/wiki/Frederik_6.
